Date,CMU,MIT,UW,Stanford,Berkeley,Illinois,San Diego,Maryland,Georgia Tech,Cornell,Michigan,Columbia,Texas
2000,8900,5800,,5100,6300,4300,4700,4400,4400,,,4100,3700
2001,9800,6400,,5700,7200,4700,5300,4800,4600,4000,,4300,
2002,10500,7100,,6300,8000,5400,5800,5300,5100,4200,,4600,
2003,11800,7800,,7100,8900,6200,6500,6000,5500,4900,,5000,
2004,13400,8500,,7900,9900,6800,7100,6400,5900,5400,,5500,
2005,14800,9400,,8600,11200,7500,7800,7100,6500,6000,,6000,
2006,16200,10500,,9900,11900,8500,8400,7700,6900,6600,,6700,
2007,17800,11400,,10700,12800,9400,8900,8400,7400,7300,,7300,
2008,19100,12300,,11700,13900,10200,9700,9200,8000,7900,,7600,
2009,20700,13100,,12500,14700,10900,10300,10000,8500,8400,,8100,
2010,22100,14400,,13500,15600,11700,11100,10600,9000,9000,,8500,
2011,23500,15700,9200,14500,16600,12700,11900,11100,9600,9600,,,
2012,25000,16800,10200,15700,17400,13600,12600,11700,10200,10200,,,
2013,26900,18500,10800,16700,18300,14500,13500,12400,10700,11100,,,
2014,28600,19600,11600,17800,19300,15500,14400,13200,11500,12100,,,
2015,30500,20800,12400,18700,20200,16600,15500,13900,12200,13000,,,
2016,32100,22000,13500,19900,21100,18000,16600,14800,,14000,13000,,
2017,33900,22800,14500,21000,22300,19200,17800,15700,,14800,14000,,
2018,36000,23900,15500,22000,23400,20600,18900,16700,,15800,14800,,
2019,38100,25000,16400,23100,24300,22100,20200,17800,,16900,15800,,
2020,40200,160200,17200,24100,25300,23600,21300,18700,,17700,16600,,